"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIGIKEY";"MF";"MOUSER";"MP";"NEWARK";"PACKAGE";"PRICE";"PROD_ID";"VALUE";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C2";"2.2uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C4";"16pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C5";"1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C6";"220pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C7";"25uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C8";"2.2uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C9";"4.7uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"IC4";"MIC_I2S_SPH0645";"MIC_I2S_SPH0645";"SPH0645LM4H";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"UCB_CAL100MIL";"UCB_CAL100MIL";"UCB_CAL_100MIL";"";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"NX3008PBK";"NX3008PBK";"SOT23-3";"MOSFET - P Channel";"";"";"568-10499-1-ND";"";"771-NX3008PBK,215";"";"74T4665";"";"";"";"";
"R1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"";"";"";"";"";"";"";"RES-00824";"10K";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"";"";"";"";"";"";"";"RES-00824";"10K";
"R5";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R6";"13.7K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R7";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R8";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R9";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R10";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R11";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R12";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R13";"49.9";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R14";"75K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R15";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R18";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R19";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R20";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R21";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"CMB-6544PF";"CMB-6544PF";"CMB-6544PF";"20HZ-20KHZ Electret Condenser Microphone";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"M18PTH";"M18PTH";"1X18-SMALL-PADS";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"M18PTH";"M18PTH";"1X18-SMALL-PADS";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"MPU-9250";"MPU-9250";"QFN24_PAD";"NC pin 19. 2-6 & 14-17 not internally connected. May be used for PCB trace routing.";"";"";"";"";"";"";"";"";"";"IC-13192";"";
"U3";"OPA322AIDBVT";"OPA322AIDBVT";"SOT95P280X145-5N";"Operational Amplifier";"Good";"20MHz, Low Noise, 1.8V RRIO, CMOS Operational Amplifier with Shutdown 5-SOT-23 -40 to 125";"";"Texas Instruments";"";"OPA322AIDBVT";"";"SOT-23 Texas Instruments";"1.26 USD";"";"";
"U4";"microSD";"USD-SOCKETSMD";"MICRO-SD-SOCKET-PP";"microSD Socket";"";"";"";"";"";"";"";"";"";"";"";
